User_ID,Targets,Target's Polarity Score
603741920,trump,-0.6894599348306656
38900178,realdonaldtrump,-0.9422594117932022
237754267,candidate,-0.517209492623806
887569722,country,0.2423851937055588
753498337,obama,-0.8645653687417507
565501978,nothing,-0.21516196429729464
1430129144,country,-0.4587126970291138
16579411,country,-0.4936236627399922
863113304,man,-0.4736693575978279
29134922,trump,-0.4977710470557213
1701231847,semst,-0.2405430674552917
16579411,truth,-0.3920221067965031
2931883207,semst,-0.5654402375221252
1659062558,trump,-0.4158966615796089
553480874,semst,-0.5652539320290089
2342293747,semst,-0.2301216423511505
938272970,trump,-0.2015698254108429
30980826,country,0.372715212404728
52242864,semst,-0.2956816852092743
480859386,man,-0.2958088740706444
43958210,america,-0.6225851848721504
1430129144,truth,-0.3760883137583733
43251355,president,-0.4635402299463749
1210688401,semst,-0.8333771079778671
1697810262,nothing,-0.6281079947948456
3311276608,president,0.4485623463988304
1250393527,semst,-0.7446589507162571
205367013,trump,-0.75452427752316
1309271143,america,-0.4623727649450302
457123526,semst,0.30668237060308456
2737178169,obama,-0.7193929050117731
417201420,realdonaldtrump,-0.811275526881218
574670873,party,-0.6007725335657597
24294066,party,-0.6727289650589228
20415005,trump,-0.6250188052654266
304185897,semst,-0.8053540121763945
2933545119,trump,-0.2281334102153778
126410996,trump,-0.7979325857013464
2869158160,thing,-0.4105691090226173
616303472,trump,-0.3315626606345177
863889445,thing,0.27086805552244186
2904178633,politician,-0.8901977445930243
846447662,greece,-0.2565965950489044
2502484436,semst,-0.8417346905916929
2216532829,nothing,-0.9161411253735424
80605638,time,0.6436934098601341
43962567,party,0.3515175096690655
103707227,country,0.7624123282730579
48009323,semst,-0.2829466611146927
904176902,party,-0.21353350579738614
3141654004,president,-0.6128937937319279
1701231847,trump,-0.3409176543354988
3000593912,semst,-0.4848989546298981
3358621409,politician,-0.7625610455870628
3244012093,america,0.22937923669815066
1323411324,president,-0.3916347697377205
938272970,mexicans,-0.20192602276802066
2834370990,party,-0.8858017884194851
1574070996,semst,-0.6579098552465439
1538792221,trump,-0.4792849607765674
3272381252,semst,-0.8883116953074932
39106123,semst,-0.4942259192466736
193192630,realdonaldtrump,0.203714270144701
938272970,truth,-0.20156735181808472
28387976,obama,-0.6286229267716408
2447898228,america,-0.4360967092216015
453561436,america,-0.76344083994627
1616176478,america,-0.7195128686726093
616303472,candidate,-0.33155398815870285
178863237,trump,-0.27946502715349203
766594368,greece,0.5112841688096523
380404913,america,-0.9250096641480924
24294066,trump,-0.6727252472192049
2216532829,semst,-0.7712909206748009
92643660,trump,-0.2673951089382172
33831682,life,-0.2282467409968376
2608084976,trump,0.6125779002904892
2373807873,politician,-0.3702009692788124
30980826,life,0.37271416187286377
1323411324,truth,-0.3916349485516548
357625948,thing,0.28420283645391464
457123526,america,0.2991578131914139
357625948,party,0.2842114418745041
44565886,trump,-0.477775864303112
480859386,truth,-0.29580822587013245
1538792221,mexicans,-0.47984938696026797
2174118859,trump,0.3509010877460241
2842797465,realdonaldtrump,-0.9205378200858833
2904178633,semst,-0.8918232880532742
1208304842,trump,-0.22513170912861824
87878811,america,-0.8172288127243519
597865491,trump,-0.4699944797903299
1202310276,semst,-0.9469576664268969
23795703,semst,0.20351123809814453
30043610,realdonaldtrump,-0.3642908036708832
20415005,semst,-0.6271020472049713
2421964502,truth,-0.2301198244094849
224333112,hell,-0.7707988508045673
358852183,politician,-0.7414954658597708
1613729870,thing,-0.2660286724567413
565501978,hell,-0.7941388674080372
1574070996,obama,-0.6561886072158813
24176655,semst,-0.348938949406147
3352331979,semst,-0.8664756640791893
34955929,president,0.2912793606519699
28913772,truth,-0.2312468364834785
3141654004,trump,-0.6128925383090973
453561436,trump,-0.7634541206061841
57461026,country,-0.5051676705479622
16570951,mexicans,-0.26619119197130203
2933932956,life,0.4590916186571121
36864149,candidate,-0.3789862170815468
56838981,country,0.4269397035241127
355258993,semst,0.20733104646205905
3255718752,semst,-0.24032893404364586
237754267,trump,-0.5172615274786949
23775246,time,-0.3041033297777176
145740792,semst,-0.6778696402907372
14314844,candidate,-0.7125642895698547
25794695,semst,0.22773956507444384
43958210,semst,-0.36702921986579895
335915054,time,-0.26996783167123795
457123526,trump,-0.4295125678181648
294431458,realdonaldtrump,0.25158584862947464
1323411324,country,-0.3916358575224877
2842797465,hell,-0.6502633132040501
3207939867,time,0.21074798703193665
