Tweet_ID,User_ID,User_Follower_Counts,Topic,Targets,Target's Polarity Score,Stance
593139259495690240,89090775,2743,Hillary_Clinton,dereliction,-0.2343909963965416,AGAINST
593139259495690240,89090775,2743,Hillary_Clinton,duty,-0.23390186950564384,AGAINST
593139259495690240,89090775,2743,Hillary_Clinton,lies,-0.23389504477381706,AGAINST
588427677381562369,3166924179,225,Hillary_Clinton,hillary,0.5115028321743011,FAVOR
588427677381562369,3166924179,225,Hillary_Clinton,choice,0.5115135423839092,FAVOR
588427677381562369,3166924179,225,Hillary_Clinton,nation,0.5115064047276974,FAVOR
593417005396525056,2194722258,8,Hillary_Clinton,respect,0.4790552854537964,NONE
593417005396525056,2194722258,8,Hillary_Clinton,law,0.4790572077035904,NONE
593417005396525056,2194722258,8,Hillary_Clinton,respect,0.4790552854537964,NONE
593417005396525056,2194722258,8,Hillary_Clinton,law,0.4790572077035904,NONE
588434469725560833,3107967905,7,Hillary_Clinton,brain,-0.22218400612473488,AGAINST
588434469725560833,3107967905,7,Hillary_Clinton,hillary,-0.22218553349375725,AGAINST
588434469725560833,3107967905,7,Hillary_Clinton,house,-0.22218746691942215,AGAINST
588494903677693952,2991368880,12777,Hillary_Clinton,gear,0.27250652201473713,FAVOR
588620410696011777,254450921,835,Hillary_Clinton,miracle,-0.3426838219165802,AGAINST
588620410696011777,254450921,835,Hillary_Clinton,democrats,-0.342703253030777,AGAINST
588620410696011777,254450921,835,Hillary_Clinton,someone,-0.3427005782723427,AGAINST
588620410696011777,254450921,835,Hillary_Clinton,war,-0.34269948303699493,AGAINST
593143881060876288,33814911,311,Hillary_Clinton,peace,0.6875642910599709,NONE
593482421003231232,2692397982,2252,Hillary_Clinton,hillary,-0.8103584758937359,AGAINST
593482421003231232,2692397982,2252,Hillary_Clinton,anyone,-0.8103110389783978,AGAINST
593482421003231232,2692397982,2252,Hillary_Clinton,prison,-0.8103278391063213,AGAINST
588688250379902976,567529077,2437,Hillary_Clinton,internet,-0.49676573649048805,AGAINST
588396980985929728,129235890,329057,Hillary_Clinton,everything,-0.801387220621109,AGAINST
588396980985929728,129235890,329057,Hillary_Clinton,hillary,-0.8013950828462839,AGAINST
588396980985929728,129235890,329057,Hillary_Clinton,scam,-0.8029100829735398,AGAINST
588396980985929728,129235890,329057,Hillary_Clinton,president,0.5911315530538559,AGAINST
588472812274208768,151531611,4350,Hillary_Clinton,therealmadman23,-0.7493005711585283,NONE
588472812274208768,151531611,4350,Hillary_Clinton,fiorina,-0.7466795854270458,NONE
588472812274208768,151531611,4350,Hillary_Clinton,punches,-0.7440251894295216,NONE
588472812274208768,151531611,4350,Hillary_Clinton,media,-0.7440278697758913,NONE
588512204317569025,1656884071,1731,Hillary_Clinton,foundation,-0.2982514500617981,AGAINST
588512204317569025,1656884071,1731,Hillary_Clinton,bribes,-0.2982493042945862,AGAINST
588512204317569025,1656884071,1731,Hillary_Clinton,governments,-0.2982497587800026,AGAINST
588512204317569025,1656884071,1731,Hillary_Clinton,semst,-0.2995499521493912,AGAINST
588689780747214849,545947659,186,Hillary_Clinton,luck,0.46928220987319946,NONE
588543591724679168,1149353412,4432,Hillary_Clinton,liar,-0.8470409009605646,AGAINST
588543591724679168,1149353412,4432,Hillary_Clinton,husband,-0.8385436329990625,AGAINST
593157570354933761,3214786827,174,Hillary_Clinton,semst,-0.579985223710537,AGAINST
588489792083505153,72873606,3323,Hillary_Clinton,thatchampion,-0.7026198394596577,NONE
588489792083505153,72873606,3323,Hillary_Clinton,team,-0.7002956308424473,NONE
588489792083505153,72873606,3323,Hillary_Clinton,misconduct,-0.7002965807914734,NONE
593422234670264320,78776348,22637,Hillary_Clinton,everyone,0.5801000632345676,NONE
588385316366639104,2604628464,101,Hillary_Clinton,gop,-0.3490023761987686,NONE
588385316366639104,2604628464,101,Hillary_Clinton,vote,-0.3486575782299042,NONE
588385316366639104,2604628464,101,Hillary_Clinton,policies,-0.3486548066139221,NONE
588385316366639104,2604628464,101,Hillary_Clinton,community,-0.3486555442214012,NONE
588395141372620801,79894834,197,Hillary_Clinton,lets,-0.627319410443306,NONE
588395141372620801,79894834,197,Hillary_Clinton,dickcheney,-0.629490714520216,NONE
588395141372620801,79894834,197,Hillary_Clinton,criminal,-0.6273223198950291,NONE
588395141372620801,79894834,197,Hillary_Clinton,day,-0.6273817494511604,NONE
588398340175364096,226479824,129,Hillary_Clinton,relationship,-0.8628779519349337,AGAINST
588398340175364096,226479824,129,Hillary_Clinton,bitch,-0.8628759360872209,AGAINST
588398340175364096,226479824,129,Hillary_Clinton,emails,-0.862870882730931,AGAINST
588398340175364096,226479824,129,Hillary_Clinton,face,-0.8628655970096588,AGAINST
588419658874773504,343529731,493,Hillary_Clinton,office,-0.2670393045991659,AGAINST
588419658874773504,343529731,493,Hillary_Clinton,hillary,-0.2670401353389025,AGAINST
588419658874773504,343529731,493,Hillary_Clinton,semst,-0.2686283141374588,AGAINST
588420531495575552,20275809,30393,Hillary_Clinton,sos,-0.6456675976514816,NONE
588426207001235457,2455822425,946,Hillary_Clinton,world,-0.25306010991334915,FAVOR
588426207001235457,2455822425,946,Hillary_Clinton,qualifications,-0.2530524954199791,FAVOR
588426207001235457,2455822425,946,Hillary_Clinton,secretary,-0.2530526891350746,FAVOR
588426207001235457,2455822425,946,Hillary_Clinton,state,-0.25305159389972687,FAVOR
588439479897223168,33214161,151,Hillary_Clinton,cherylrios,-0.7489142091944814,NONE
588439479897223168,33214161,151,Hillary_Clinton,comments,-0.745222051627934,NONE
588439479897223168,33214161,151,Hillary_Clinton,women,-0.7452220916748047,NONE
588439479897223168,33214161,151,Hillary_Clinton,president,-0.7452221577987075,NONE
588439479897223168,33214161,151,Hillary_Clinton,time,-0.5919930599629879,NONE
588439479897223168,33214161,151,Hillary_Clinton,month,-0.5919913426041603,NONE
588442075642736642,544927839,554,Hillary_Clinton,key,0.2868541292846203,FAVOR
588442075642736642,544927839,554,Hillary_Clinton,president,0.2868579849600792,FAVOR
588445085332680704,264271174,13621,Hillary_Clinton,boys,-0.7677795104682446,AGAINST
588445085332680704,264271174,13621,Hillary_Clinton,president,-0.7677947878837585,AGAINST
588445085332680704,264271174,13621,Hillary_Clinton,iraq,-0.7677826918661594,AGAINST
