,Tweet_ID,User_ID,User_Follower_Counts,Topic,Targets,Target's Polarity Score,Stance
0,614107438652989440,14803951,195235,Climate Change is a Real Concern,strategy,0.2030527200549841,FAVOR
1,614107438652989440,14803951,195235,Climate Change is a Real Concern,place,0.20305023156106472,FAVOR
2,614107438652989440,14803951,195235,Climate Change is a Real Concern,conference,0.20305235683918,FAVOR
3,614107438652989440,14803951,195235,Climate Change is a Real Concern,paris,0.20305061526596546,FAVOR
4,614107438652989440,14803951,195235,Climate Change is a Real Concern,december,0.20305059850215912,FAVOR
5,614108966121934848,212463932,5049,Climate Change is a Real Concern,action,0.415016733109951,FAVOR
6,614111100024455169,212463932,5049,Climate Change is a Real Concern,jobs,0.3250099122524261,FAVOR
7,614111100024455169,212463932,5049,Climate Change is a Real Concern,albertans,0.32847752422094345,FAVOR
8,614111100024455169,212463932,5049,Climate Change is a Real Concern,strategy,0.3250101916491985,FAVOR
9,614111100024455169,212463932,5049,Climate Change is a Real Concern,goals,0.6651072800159454,FAVOR
10,614124675694620672,173321172,9448,Climate Change is a Real Concern,gkremen,0.2788078058511019,FAVOR
11,614124675694620672,173321172,9448,Climate Change is a Real Concern,suffolkbuilds,0.278807919472456,FAVOR
12,614124675694620672,173321172,9448,Climate Change is a Real Concern,region,0.2746953852474689,FAVOR
13,614124675694620672,173321172,9448,Climate Change is a Real Concern,semst,0.27743408270180225,FAVOR
14,614126155533135872,3017893369,54,Climate Change is a Real Concern,assholes,-0.9136669300496578,AGAINST
15,614127869174812672,12626962,169247,Climate Change is a Real Concern,event,0.4943699687719345,FAVOR
16,614127869174812672,12626962,169247,Climate Change is a Real Concern,green,0.2499105855822563,FAVOR
17,614135540464676868,2391870344,3452,Climate Change is a Real Concern,generation,0.2855958491563797,FAVOR
18,614135540464676868,2391870344,3452,Climate Change is a Real Concern,activists,0.2855992913246155,FAVOR
19,614172891685392385,172081908,35217,Climate Change is a Real Concern,generation,-0.2528717964887619,FAVOR
