,Tweet_ID,User_ID,User_Follower_Counts,Topic,Targets,Target's Polarity Score,Stance
0,619203785123098624,2174118859,1143,Donald_Trump,thanks,0.35091269202530384,AGAINST
1,619203785123098624,2174118859,1143,Donald_Trump,trump,0.3509010877460241,AGAINST
2,619308383590612992,597865491,599,Donald_Trump,trump,-0.4699944797903299,AGAINST
3,619308383590612992,597865491,599,Donald_Trump,clinton,-0.4699936527758837,AGAINST
4,614122429850320896,3045188288,13,Donald_Trump,stupid,-0.8189530484378338,AGAINST
5,614125122862084096,747289232,1783,Donald_Trump,bs,-0.5115384906530379,NONE
6,614132191816232960,718904023,5034,Donald_Trump,nothing,-0.7112909406423569,NONE
7,614132191816232960,718904023,5034,Donald_Trump,obamacare,-0.7124697100371122,NONE
8,614132191816232960,718904023,5034,Donald_Trump,eure,-0.7124629039317371,NONE
9,614132191816232960,718904023,5034,Donald_Trump,terrorism,-0.711292577907443,NONE
10,614132191816232960,718904023,5034,Donald_Trump,supremecourt,-0.7124785911291838,NONE
11,614149851211780098,274136152,34603,Donald_Trump,trump,0.5069800242781639,FAVOR
12,614200126827933696,1574070996,250,Donald_Trump,obama,-0.6561886072158813,FAVOR
13,614200126827933696,1574070996,250,Donald_Trump,house,-0.6562393680214882,FAVOR
14,614200126827933696,1574070996,250,Donald_Trump,semst,-0.6579098552465439,FAVOR
15,614214700562296832,1447960080,448,Donald_Trump,realdonaldtrump,0.3380523584783077,AGAINST
16,614214700562296832,1447960080,448,Donald_Trump,idiot,-0.9041321063414216,AGAINST
17,614225736124121088,27944341,3401,Donald_Trump,liberals,-0.5998097583651543,NONE
18,614225736124121088,27944341,3401,Donald_Trump,war,-0.599806971848011,NONE
19,614225736124121088,27944341,3401,Donald_Trump,america,-0.5998067855834961,NONE
20,614256091455713280,2502484436,354,Donald_Trump,work,-0.2153650522232056,NONE
21,614256091455713280,2502484436,354,Donald_Trump,semst,-0.8417346905916929,NONE
22,614269228514807808,225196660,368,Donald_Trump,class,-0.9333923179656268,AGAINST
23,614275924037517312,2412708224,7626,Donald_Trump,transfer,-0.338950514793396,NONE
