,User_ID_x,User_ID_y,Weights
0,7790622,14745550,6
1,7790622,15335491,5
2,7790622,24546672,1
3,7790622,29757178,2
4,7790622,32138442,4
5,7790622,35627887,8
6,7790622,36023807,2
7,7790622,42795468,5
8,7790622,44245603,2
9,7790622,46870227,1
10,7790622,48762009,16
11,7790622,51175773,6
12,7790622,60935743,1
13,7790622,91458291,1
14,7790622,140989303,2
15,7790622,143795236,1
16,7790622,156209575,2
17,7790622,159302754,2
18,7790622,173789958,5
19,7790622,196531533,5
20,7790622,215876901,1
21,7790622,228147604,1
22,7790622,248858868,2
23,7790622,249782044,14
24,7790622,261068895,4
25,7790622,274335684,4
26,7790622,297943941,2
27,7790622,318357602,1
28,7790622,320478877,1
29,7790622,341179470,1
30,7790622,388579974,4
31,7790622,392514148,1
32,7790622,397812389,4
33,7790622,420572254,1
34,7790622,511231057,1
35,7790622,513787993,11
36,7790622,557078282,2
37,7790622,593118823,1
38,7790622,909106970,1
39,7790622,919886574,3
40,7790622,1119574238,1
41,7790622,1137273540,7
42,7790622,1489300873,5
43,7790622,1541891113,1
44,7790622,1891615903,2
45,7790622,2176958272,1
46,7790622,2381198785,1
47,7790622,2424692306,11
48,7790622,2738526278,3
49,7790622,2767997646,1
50,7790622,2834570816,1
51,7790622,2894492515,2
52,7790622,2911679200,3
53,7790622,2989219299,3
54,7790622,3093535243,1
55,7790622,3315650567,4
56,14745550,7790622,6
57,14745550,15335491,14
58,14745550,24546672,9
59,14745550,25409581,5
60,14745550,29757178,2
61,14745550,32138442,12
62,14745550,35627887,56
63,14745550,36023807,12
64,14745550,42795468,26
65,14745550,44245603,3
66,14745550,48762009,23
67,14745550,51175773,12
68,14745550,60935743,8
69,14745550,91458291,2
70,14745550,140989303,1
71,14745550,156209575,2
72,14745550,158920425,4
73,14745550,159302754,15
74,14745550,162967620,3
75,14745550,173789958,9
76,14745550,196531533,37
77,14745550,215446879,7
78,14745550,215876901,4
79,14745550,228147604,10
80,14745550,249782044,70
81,14745550,261068895,5
82,14745550,274335684,15
83,14745550,284677404,2
84,14745550,297943941,3
85,14745550,305134790,1
86,14745550,341179470,1
87,14745550,383990793,1
88,14745550,388579974,5
89,14745550,392514148,1
90,14745550,397812389,10
